entity_name,entity_type,frequency
暨世界反法西斯战争,历史事件,4
关向应,红色人物,3
他们是革命的历史、革命的财富、革命,历史事件,2
军官兵、军属以及部分在抗美援朝战争,历史事件,2
清风小镇旅顺红色名人纪念馆,红色场馆,2
修建中苏友谊纪念塔,红色场馆,2
关向应纪念馆,红色场馆,2
抗日战争,历史事件,2
毛泽东,红色人物,2
贺龙,红色人物,2
长征,历史事件,2
同贺龙、任弼时等创建了湘鄂川黔革命,历史事件,1
1月25日与冀中党政军领导机关会师,历史事件,1
党员李震瀛被党中央派来大连从事革命,历史事件,1
大连的土地上承载着中国人民革命,历史事件,1
先驱的石雕、铜塑和中国人民革命,历史事件,1
他为争取民族解放英勇战斗的革命,历史事件,1
在工人、学生、农民中传播革命,历史事件,1
大连市高新区大连市烈士陵园,红色场馆,1
蔡和森、邓中夏等58位革命,历史事件,1
龙王塘街道大连市烈士陵园,红色场馆,1
四二七“福纺”工人大罢工,历史事件,1
该馆是中国革命纪念馆,红色场馆,1
大连红星村革命纪念馆,红色场馆,1
08、大连红星村革命,历史事件,1
李震瀛因在大连的革命,历史事件,1
纪念馆内有延安窑洞,红色场馆,1
大连中华工学会旧址,红色场馆,1
旅顺口区旅顺博物馆,红色场馆,1
在大连英雄纪念公园,红色场馆,1
当选为中央临时革命,历史事件,1
毛泽东历史珍藏馆,红色场馆,1
旅顺日俄监狱旧址,红色场馆,1
在旅顺修建胜利塔,红色场馆,1
日本法西斯的战争,历史事件,1
大连政协文史馆,红色场馆,1
史春英烈士陵园,红色场馆,1
生动展示了革命,历史事件,1
是无产阶级革命,历史事件,1
该馆是中国革命,历史事件,1
从湖南桑植突围,历史事件,1
这座监狱旧址,红色场馆,1
苏军烈士陵园,红色场馆,1
红三军指挥所,红色场馆,1
从此投身革命,历史事件,1
苏军胜利塔,红色场馆,1
大连博物馆,红色场馆,1
关向应故居,红色场馆,1
张有萱革命,历史事件,1
在长期革命,历史事件,1
五卅”惨案,历史事件,1
纪念展室,红色场馆,1
解放战争,历史事件,1
七一建党,历史事件,1
值此建党,历史事件,1
追寻革命,历史事件,1
日俄战争,历史事件,1
焦裕禄,红色人物,1
彭德怀,红色人物,1
吴屏周,红色人物,1
史春英,红色人物,1
宋庆龄,红色人物,1
张有萱,红色人物,1
邓中夏,红色人物,1
周恩来,红色人物,1
蔡和森,红色人物,1
刘伯承,红色人物,1
任弼时,红色人物,1
李震瀛,红色人物,1
朱德,红色人物,1
杨志云,红色人物,1
陈为人,红色人物,1
傅景阳,红色人物,1
吴丽石,红色人物,1
邓鹤皋,红色人物,1
杜继曾,红色人物,1
彭振国,红色人物,1
杨介人,红色人物,1
李稔年,红色人物,1
郭述申,红色人物,1
董必武,红色人物,1
陈潭秋,红色人物,1
徐海东,红色人物,1
吴运铎,红色人物,1
于促儒,红色人物,1
中共大连特别支部,组织机构,1
中华青年会,组织机构,1
中国社会主义青年团,组织机构,1
大连中华工学会,组织机构,1
中共关东县委会,组织机构,1
中共满洲省临时委员会,组织机构,1
建新公司,组织机构,1
宏昌铁工厂,组织机构,1
大连,地点,1
旅顺,地点,1
哈尔滨,地点,1
四平,地点,1
延安,地点,1
“四二七”大罢工,历史事件,1
“五卅”惨案,历史事件,1
四平战役,历史事件,1
大连红星村革命,历史事件,1
冀中党政军领导机关会师,历史事件,1
“五卅”惨案,历史事件,1
“四二七”大罢工,历史事件,1
七一建党,历史事件,1
中共关东县委会,历史事件,1
中共大连市委社会部,历史事件,1
中共大连特别支部,历史事件,2
中共满洲省临时委员会,历史事件,1
中共满洲省委,历史事件,1
中华青年会,历史事件,1
中国共产党,历史事件,1
中国共产主义青年团,历史事件,1
中国社会主义青年团,历史事件,1
于促儒,红色人物,1
于会川,红色人物,1
于子和,红色人物,1
九一八事变,历史事件,1
五卅”惨案,历史事件,1
五卅惨案,历史事件,1
交联,历史事件,1
从此投身革命,历史事件,1
从湖南桑植突围,历史事件,1
他们是革命的历史、革命的财富、革命,历史事件,2
他为争取民族解放英勇战斗的革命,历史事件,1
任弼时,红色人物,1
修建中苏友谊纪念塔,红色场馆,2
党组织,历史事件,1
党员李震瀛被党中央派来大连从事革命,历史事件,1
北伐战争,历史事件,1
南满游击队,历史事件,1
历史事件,历史事件,1
史春英,红色人物,1
史春英烈士陵园,红色场馆,1
同贺龙、任弼时等创建了湘鄂川黔革命,历史事件,1
周恩来,红色人物,1
哈尔滨,地理位置,2
四平,地理位置,1
四平战役,历史事件,1
四二七“福纺”工人大罢工,历史事件,1
大连,地理位置,2
大连中华工学会,历史事件,2
大连中华工学会旧址,红色场馆,1
大连博物馆,红色场馆,1
大连市地方法院,红色场馆,1
大连市高新区大连市烈士陵园,红色场馆,1
大连政协文史馆,红色场馆,1
大连的土地上承载着中国人民革命,历史事件,1
大连红星村革命纪念馆,红色场馆,1
宏昌铁工厂,红色场馆,1
宋庆龄,红色人物,1
工学世界社,历史事件,1
左友文,红色人物,1
左武堂,红色人物,1
巴黎,地理位置,1
建新公司,红色场馆,1
当选为中央临时革命,历史事件,1
彭德怀,红色人物,1
彭振国,红色人物,1
徐海东,红色人物,1
抗日战争,历史事件,3
是无产阶级革命,历史事件,1
朱德,红色人物,1
李富春,红色人物,1
李彭华,红色人物,1
李稔年,红色人物,1
李震瀛,红色人物,1
李震瀛因在大连的革命,历史事件,1
杜继曾,红色人物,1
杨介人,红色人物,1
杨东莼,红色人物,1
杨志云,红色人物,1
杨靖宇,红色人物,1
毛泽东,红色人物,2
毛泽东历史珍藏馆,红色场馆,1
欧阳钦,红色人物,1
江泽民,红色人物,1
汪精卫,红色人物,1
清风小镇旅顺红色名人纪念馆,红色场馆,2
潘澄宇,红色人物,1
焦裕禄,红色人物,1
王延寿,红色人物,1
王宝玉,红色人物,1
王立功,红色人物,1
生动展示了革命,历史事件,1
社会主义青年团,历史事件,1
红三军指挥所,红色场馆,1
红军,组织机构,1
红十五军团,组织机构,1
纪念展室,红色场馆,1
纪念馆内有延安窑洞,红色场馆,1
红二十八军,组织机构,1
胶东区党委城工部,组织机构,1
胶东大连支部,历史事件,1
蔡和森,红色人物,1
蔡和森、邓中夏等58位革命,历史事件,1
萧三,红色人物,1
萧劲光,红色人物,1
董必武,红色人物,1
蒋介石,红色人物,1
苏联,地理位置,1
苏军烈士陵园,红色场馆,1
苏军胜利塔,红色场馆,1
该馆是中国革命,历史事件,1
该馆是中国革命纪念馆,红色场馆,1
赵恩光,红色人物,1
追寻革命,历史事件,1
邓中夏,红色人物,1
邓鹤皋,红色人物,1
郭述申,红色人物,1
重庆,地理位置,1
金伯阳,红色人物,1
长征,历史事件,3
关向应,红色人物,3
关向应故居,红色场馆,1
关向应纪念馆,红色场馆,2
关星浦,红色人物,1
陈为人,红色人物,1
陈潭秋,红色人物,1
革命,历史事件,1
革命精神,历史事件,1
革命者,红色人物,1
革命英雄,红色人物,1
革命遗址,红色场馆,1
预备班,组织机构,1
马列主义,历史事件,1
马克思主义,历史事件,1
骆驼,红色人物,1
高尔基,红色人物,1
高君宇,红色人物,1
魏拯民,红色人物,1
鲁迅,红色人物,1
黄埔军校,组织机构,1
黄继光,红色人物,1
黎明,红色人物,1
黑龙江省委,组织机构,1
龙王塘街道大连市烈士陵园,红色场馆,1
1925年,时间节点,1
1926年4月,时间节点,1
1931年,时间节点,1
1937年,时间节点,1
1945年,时间节点,1
1947年,时间节点,1
