entity_name,entity_type,frequency
贺龙,红色人物,2
关向应,红色人物,2
毛泽东,红色人物,2
世界反法西斯战争,历史事件,2
焦裕禄,红色人物,1
位革命,红色人物,1
彭德怀,红色人物,1
年将,红色人物,1
念英雄,红色人物,1
吴屏周,红色人物,1
大连市,红色人物,1
史春英,红色人物,1
宋庆龄,红色人物,1
苏军,红色人物,1
张有萱,红色人物,1
邓中夏,红色人物,1
周恩来,红色人物,1
蔡和森,红色人物,1
中苏友谊纪念塔,红色场馆,1
毛泽东历史珍藏馆,红色场馆,1
苏军胜利塔,红色场馆,1
大连政协文史馆,红色场馆,1
这座监狱旧址,红色场馆,1
修建中苏友谊纪念塔,红色场馆,1
苏军烈士陵园,红色场馆,1
龙王塘街道大连市烈士陵园,红色场馆,1
该馆是中国革命纪念馆,红色场馆,1
纪念馆内有延安窑洞,红色场馆,1
旅顺日俄监狱旧址,红色场馆,1
大连博物馆,红色场馆,1
红三军指挥所,红色场馆,1
关向应故居,红色场馆,1
旅顺红色名人纪念馆,红色场馆,1
大连红星村革命纪念馆,红色场馆,1
大连中华工学会旧址,红色场馆,1
关向应纪念馆,红色场馆,1
清风小镇旅顺红色名人纪念馆,红色场馆,1
史春英烈士陵园,红色场馆,1
在旅顺修建胜利塔,红色场馆,1
纪念展室,红色场馆,1
旅顺口区旅顺博物馆,红色场馆,1
墓迁移至大连市高新区大连市烈士陵园,红色场馆,1
08、大连红星村革命,历史事件,1
解放战争,历史事件,1
中苏两国人民在抗击日本法西斯的战争,历史事件,1
6年领导的四二七“福纺”工人大罢工,历史事件,1
生动展示了革命,历史事件,1
七一建党,历史事件,1
值此建党,历史事件,1
抗美援朝,历史事件,1
市文化和旅游局带您走进大连这些革命,历史事件,1
迹展览有蔡和森、邓中夏等58位革命,历史事件,1
一楼设有张有萱革命,历史事件,1
追寻革命,历史事件,1
为纪念世界反法西斯战争,历史事件,1
他们是革命的历史、革命的财富、革命,历史事件,1
日俄战争,历史事件,1
大连的土地上承载着中国人民革命,历史事件,1
是无产阶级革命,历史事件,1
军官兵、军属以及部分在抗美援朝战争,历史事件,1
先驱的石雕、铜塑和中国人民革命,历史事件,1
该馆是中国革命,历史事件,1
向应,红色人物,1
刘伯承,红色人物,1
朱德,红色人物,1
任弼时,红色人物,1
李震瀛,红色人物,1
并在大关家村建立关向应纪念馆,红色场馆,1
并将塑像敬立在大连英雄纪念公园,红色场馆,1
从此投身革命,历史事件,1
从湖南桑植突围,历史事件,1
李震瀛因在大连的革命,历史事件,1
在长期革命,历史事件,1
长征,历史事件,1
“五卅”惨案,历史事件,1
在工人、学生、农民中传播革命,历史事件,1
开始长征,历史事件,1
展现他为争取民族解放英勇战斗的革命,历史事件,1
同贺龙、任弼时等创建了湘鄂川黔革命,历史事件,1
当选为中央临时革命,历史事件,1
暨世界反法西斯战争,历史事件,1
1月25日与冀中党政军领导机关会师,历史事件,1
党员李震瀛被党中央派来大连从事革命,历史事件,1
在中国人民抗日战争,历史事件,1
抗日战争,历史事件,1
