实体名称,分类,开放时间,门票政策,联系电话,交通方式,地址,交通配套,陈列内容,历史记录,占地面积,服务,烈士纪念碑高度,铭刻内容,始建时间,翻新时间,活动,安葬人数,展示内容,保护级别,保留内容,距离,性质,建筑类型,标志物,残留内容,发现文物,海拔,体验,保护范围,规定,闭馆情况,安葬时期,纪念塔高度,纪念塔刻字,安葬对象,烈士纪念碑建成时间,烈士纪念碑内容,配套,无名烈士墓安葬人数,管理处电话,建成时间,出生时间,逝世时间,籍贯,入党时间,逝世地点,原名,牺牲年龄,荣誉,战斗状态,逝世原因,工作单位,经历事件年龄,罢工经历,被捕表现,表彰单位,入狱原因,获释时间,贡献,发生时间,规模,参与人数,持续时间,结果,伤亡人数,建立时间,坚持时间,时间,成立时间,成立地点,成立时会员数,召开时间,影响,反响,形式,材质,特征,类型,状态,保存方式,价值,长度,属性,尺寸,枪管刻字,封面颜色,页数,最后记录时间,外壳材质,镜片状态,组成,布料颜色,文字,制作方式,签发时间,帽徽,颜色,用途,直径,发掘时间,推测属性,陈列于,全程距离,路段车程,建议时长,适合人群,建议行程,行程安排,车程,主题,适合儿童年龄,预约要求,参观方式,适合季节,轮渡时长,景点分布,配套体验
关向应故居纪念馆,红色场馆类,9:00-16:30（每周一闭馆）,免费（需提前预约）,0411-66661902,乘坐金州公交 105 路至向应街道站（步行 10 分钟）,大连市金州区向应街道关家村 1 号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连中华工学会旧址纪念馆,红色场馆类,9:00-11:30、13:30-16:30（每周一闭馆）,免费（个人无需预约，团体 20 人以上需预约）,0411 8464 8816,,大连市沙河口区黄河路 658 号,周边有地铁 1 号线,1923 年大连中华工学会成立历史、工人运动传单和工具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅顺万忠墓纪念馆,红色场馆类,8:30-16:00（冬季提前半小时闭馆）,,0411 8661 2924,乘坐旅顺公交 3 路至万忠墓站（马路对面）,大连市旅顺口区九三路 23 号,,,1894 年旅顺大屠杀事件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓦房店市复州城革命烈士陵园纪念馆,红色场馆类,,,,,,,,,约 5000 平方米,免费讲解（需提前 3 天预约）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庄河市革命烈士陵园纪念馆,红色场馆类,,,,乘坐庄河公交 1 路至烈士陵园站,,,,,,,15 米,300 多位烈士名字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金州烈士陵园纪念馆,红色场馆类,,免费（团体需提前报备）,,乘坐金州公交 201 路至龙王庙站（步行 15 分钟）,大连市金州区友谊街道龙王庙村,,,,,接受社会各界祭扫,,,1955 年,2005 年,每年 3 月 “清明祭英烈” 活动,1200 余人（解放战争、抗美援朝金州籍烈士）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连博物馆 “近代大连” 展厅,红色场馆类,9:00-17:00（周一闭馆，与主馆一致）,免费（需官网预约，与主馆一致）,,,大连市沙河口区会展路 10 号（隶属于大连博物馆）,,,,,,,,,,,,大连革命历史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅顺日俄监狱旧址博物馆,红色场馆类,,20 元 / 人（学生半价）,,乘坐旅顺公交 5 路至监狱旧址站（步行 5 分钟）,大连市旅顺口区向阳街 139 号,,,,,,,,,,,,,全国重点文物保护单位,当年牢房、刑具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普兰店区革命纪念馆,红色场馆类,9:00-16:00（每周二闭馆，遇节假日顺延）,,0411-83515100,乘坐普兰店公交 1 路、3 路至中心广场站（步行 300 米）,普兰店区中心路一段 12 号,,,,,,,,,,,,当地抗日斗争历史,,,普兰店火车站约 2 公里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长海县革命烈士陵园纪念馆,红色场馆类,,,,乘坐轮渡至大长山岛,长海县大长山岛镇东山街,,海岛军民抗击日寇照片和实物,,,,,,,,每年清明节纪念活动,38 位烈士,,,,,海岛唯一烈士陵园,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关向应故居遗址,红色场馆类,,,,,,,,,,,,,,,,,关向应成长环境,,当年农具、生活用具,,,复建青砖瓦房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅顺龙王塘水库战斗遗址,红色场馆类,,,,,,,,,,,,,,,,,,,,,,,纪念碑（记载战斗时间和参战部队）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连湾炮台遗址,红色场馆类,9:00-16:00,10 元 / 人,,,,,,,,,,,,,,,,,,,,,,炮位、弹药库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庄河仙人洞抗日根据地遗址,红色场馆类,,,,,,,,,,,,,,,,,,,,,,,,,步枪、手榴弹等革命文物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金州南山战役遗址,红色场馆类,,,,,,,,,,,,,,,,,,,,,,,,战壕、堡垒遗迹,,116 米,登顶可俯瞰金州城区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓦房店永宁镇抗日遗址群,红色场馆类,,,,,,,,,,,,,,,,,,,,,,,,,,,,约 2 平方公里,禁止随意挖掘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
